ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3
CB01,Económico,Negativo,cosecha palo colorado,primer cosecha,,Inicial (única vez),corte de palo,1120,1120,1120,1,1.5,0.7,feb-2025,mar-2025,0,Lineal,,,
CB02,Económico,Negativo,cosecha palo colorado,segunda cosecha,,Inicial (única vez),corte pslo colrado,1120,1120,1120,1,1.5,0.7,feb-2026,mar-2026,0,Lineal,,,
CB03,Económico,Negativo,cosecha palo colorado,tercer cosecha,,Inicial (única vez),corte palo colorado,1120,1120,1120,1,1.5,0.7,feb-2028,mar-2028,,,,,
CB04,Económico,Negativo,cosecha palo colorado,cuarta cosecha,,Inicial (única vez),corte palo colorado,1120,1120,1120,1,1.5,0.7,feb-2029,mar-2029,,,,,
CB05,Económico,Negativo,cosecha amapa,primer cosecha,,Inicial (única vez),corte amapa,10560,10560,10560,3,3.5,2.5,ene-2029,feb-2029,,,,,
CB06,Económico,Negativo,costo indirecto,ausencia de becerros y leche,,Anual,perdida anual,1,1,1,2400,2700,2200,ene-2020,ene-2024,,,,,
CB07,Económico,Negativo,costo indirecto,corte de leña,,Cada 4 años,carga,80,80,80,5,7,4,ene-2025,ene-2030,,,,,
CB08,Ambiental,Negativo,costo externo,degradacion del suelo,,Anual,degradacion,1,1,1,1600,1700,1500,ene-2025,dic-2029,,,,,
CB09,Económico,Positivo,subsidio,subsidio,,Inicial (única vez),pesos,1,1,1,50900,50900,50900,dic-2019,ene-2020,,,,,
CB10,Económico,Positivo,venta palo colarado,primer venta,,Inicial (única vez),palo colorado,1120,1120,1120,5,4,6,mar-2025,abr-2025,,,,,
CB11,Económico,Positivo,venta palo colarado,segunda venta,,Inicial (única vez),palo colorado,1120,1120,1120,5,4,6,mar-2026,abr-2026,,,,,
CB12,Económico,Positivo,venta palo colarado,tercer venta,,Inicial (única vez),palo colorado,1120,1120,1120,5,4,6,mar-2028,abr-2028,,,,,
CB13,Económico,Positivo,venta palo colarado,cuarta venta,,Inicial (única vez),palo colorado,1120,1120,1120,5,4,6,mar-2029,abr-2029,,,,,
CB14,Económico,Positivo,venta amapa,venta unica,,Inicial (única vez),amapa,10560,10560,10560,10,8,12,mar-2029,abr-2029,,,,,
CB15,Económico,Positivo,productividad ganadera,coto becerro,,Anual,becerros,1,1,1,1875,1500,2000,ene-2025,dic-2029,,,,,
CB16,Económico,Positivo,productividad ganadera,costo leche,,Anual,litros de leche,300,300,300,3,2,3.5,ene-2025,ene-2029,,,,,
CB17,Económico,Positivo,productividad vegetal,venta de leña,,Cada 4 años,carga de leña,80,80,80,10,7,12,ene-2025,ene-2030,,,,,
